,License_plate_number,Distance,Number_of_Trips_Completed,Average_Speed,Transporter_Name,Number_of_Speed_Violations
2553,HR57A0091,951150539.3155693,1,11.312328799966433,Maa Phoolwati Devi Filling Station,11
2554,HR45B4286,408568257.57883596,1,23.32483886538516,Ahuja Service Station,6
2555,HR61B4256,838912904.8447772,1,14.769463356581424,Guru Jambheswar Fuels,218
2556,GJ03AZ2482,963936875.583872,1,14.834639714412065,J K Roadlines,7
2557,GJ03AZ2482,963936875.583872,1,14.834639714412065,J K Roadlines,7
2558,HR47C2259,833364688.798898,1,4.2340946456659285,HARDWARI LAL RADHEY SHYAM,3
2559,HR45B6109,1002727347.9136237,1,8.841560073553572,Ahuja Service Station,1
2560,HR57A7253,279331494.62616915,1,17.868775712867073,Ch.Mangal Sain Sidhu,169
2561,HR45B8761,387882627.9421727,1,20.5416486707871,Ahuja Service Station,119
2562,GJ12BV6829,645048617.2842773,1,27.841202203346594,Anil Bulk Carrier,191
2563,HR45C7083,422585300.3622006,1,21.414675650825455,Ahuja Service Station,10344
2564,GJ15UU2199,229209494.86735216,1,11.670975602508097,Vandana Roadlines,0
2565,GJ15UU2199,229209494.86735216,1,11.670975602508097,Vandana Roadlines,0
2566,HR45B8760,339459451.63336426,1,15.268041589128096,Ahuja Service Station,0
2567,GJ12AU5939,154791883.06993052,1,18.38912613681297,Panchmukhi Transport,9
2568,BR01GG3237,873886224.8615469,1,6.257569743255902,MAA JAGDAMBA PETROLEUM SERVICES,64
2569,GJ03AX8105,150594872.5057756,1,27.695220845511052,Shree Shaneshwar Enterprise,1
2570,GJ03AX8105,150594872.5057756,1,27.695220845511052,Shree Shaneshwar Enterprise,1
2571,GJ12AU5939,154791883.06993052,1,18.38912613681297,Panchmukhi Transport,9
2572,GJ18AU9369,557429556.2675214,1,22.03861127701462,Nandkishor Roadlines,269
2573,GJ18AU9369,557429556.2675214,1,22.03861127701462,Nandkishor Roadlines,269
2574,BR09GA2219,359292360.2066156,1,15.69334415898239,Sultania Carriers Private Limited,2
2575,GJ18AZ1457,535050260.4087973,1,17.398802782721244,Bholenath Oil Carriers,6
2576,GJ03AT2584,769294661.8772371,1,3.6320670462338325,Nilesh J Khatana,0
2577,GJ18AZ1457,535050260.4087973,1,17.398802782721244,Bholenath Oil Carriers,6
2578,BR09GA5531,453375508.9872459,1,14.69825998895231,Sultania Carriers Private Limited,7
2579,HR45B4862,987490393.1041237,1,7.686528330034476,Ahuja Service Station,6
2580,GJ06AV1223,941372219.3390827,1,10.84043196487492,Shiva roadlines,2
2581,BR09GA5531,453375508.9872459,1,14.69825998895231,Sultania Carriers Private Limited,7
2582,HR55W4557,404306158.7840717,1,14.583354066355428,Jai Maa Santoshi Filling Station,2
2583,GJ06AV1223,941372219.3390827,1,10.84043196487492,Shiva roadlines,2
2584,HR45B9981,194070066.8834224,1,14.289354963998685,Peer Baba Sai Services,13
2585,GJ08Y2430,1040871151.0136099,1,19.983435604375014,Amrutchhaya Petroleum,3
2586,GJ12W9606,794662280.9674935,1,12.540933173816441,Shree Dada Dayalu Logistics,2
2587,BR09GA2331,437892732.8783821,1,14.254216449670565,Sultania Carriers Private Limited,0
2588,BR09GA2331,437892732.8783821,1,14.254216449670565,Sultania Carriers Private Limited,0
2589,HR45B4286,408568257.57883596,1,23.32483886538516,Ahuja Service Station,6
2590,HR45C7083,422585300.3622006,1,21.414675650825455,Ahuja Service Station,10344
2591,BR24GA3738,1052150129.2036602,1,10.398312297056666,Shahabad Fuel Station,165
2592,GJ13AT8909,1057838241.6003939,1,14.835888487508242,Gopinath Petrolium Company,2
2593,GJ13AT8909,1057838241.6003939,1,14.835888487508242,Gopinath Petrolium Company,2
2594,GJ12Z0164,998084888.9333267,1,9.977229718865567,Jai Ganesh Transport,4
2595,BR09GA5531,453375508.9872459,1,14.69825998895231,Sultania Carriers Private Limited,7
2596,GJ12Z2526,1116213420.0692096,1,10.721959780137304,Balaji Transport,1
2597,HR45B6525,956930785.0396438,1,7.884742454277071,Ahuja Service Station,0
2598,BR09T9786,562600361.3198634,1,13.522394847464293,OD MOTOR SERVICE,53
2599,GJ12Z2526,1116213420.0692096,1,10.721959780137304,Balaji Transport,1
2600,BR9E3138,518248870.1623095,1,13.158669114395595,OD MOTOR SERVICE,0
2601,HR47A7499,909215420.3355031,1,10.919761465783306,Mannat Roadlines,1
2602,HR47A7499,909215420.3355031,1,10.919761465783306,Mannat Roadlines,1
2603,HR55G2084,926009648.7173774,1,12.148249486972203,Agrahari Carriers,53
2604,HR55G2084,926009648.7173774,1,12.148249486972203,Agrahari Carriers,53
2605,HP12H8091,312860458.48586243,1,23.11602290284468,Agam Filling Station,4
2606,GJ21T6780,970567051.7638341,1,12.75874428613265,R.K.Bulk Carriers,664
2607,GJ5AT1471,1010389461.9027284,1,8.707668846122976,IDEAL MOVERS (P). LTD,10
2608,HR47D2625,363848207.7898197,1,21.50814470065581,S.R.Filling Station,7
2609,GJ13AT8909,1057838241.6003939,1,14.835888487508242,Gopinath Petrolium Company,2
2610,GJ18X8616,1068205669.6815834,1,9.639707067683025,Maruti Roadways,4
2611,GJ03AZ3411,1066563515.0163368,1,17.217174085459398,Shree Momai Bulk Carrier,69
2612,GJ06TT8166,1029039663.3441863,1,12.783241181157496,Maa Trading Company,4
2613,GJ03BV2575,990641524.8935591,1,15.968441106973637,Balaji Transport,3
2614,GJ12AW0919,1078114487.9472466,1,13.29251891446427,Maruti Roadways,0
2615,GJ06Y8523,859768044.6676623,1,6.517413581583315,Suresh Petroleum Co.,0
2616,GJ3AX6156,994418156.1665508,1,11.267928766244184,Shree Dada Dayalu Logistics,3
2617,GJ06TT8166,1029039663.3441863,1,12.783241181157496,Maa Trading Company,4
2618,GJ12AW0919,1078114487.9472466,1,13.29251891446427,Maruti Roadways,0
2619,GJ06Y8523,859768044.6676623,1,6.517413581583315,Suresh Petroleum Co.,0
2620,GJ25U2270,313525780.83363813,1,12.598245131909549,Jagdish Petroleum,0
2621,GJ03AW4419,756726221.9373665,1,10.736335297285828,Nilesh J Khatana,1
2622,GJ03AW4419,756726221.9373665,1,10.736335297285828,Nilesh J Khatana,1
2623,GJ25U2270,313525780.83363813,1,12.598245131909549,Jagdish Petroleum,0
2624,GJ11TT9978,12150629.172152745,1,22.309341500765697,Bhagyoday Petroleum,0
2625,GJ12BV6628,1131313256.950411,1,17.574154701250578,Shri Aianath Road Lines,9
2626,GJ12W7582,287122909.47296757,1,14.492010110530375,Jasmin Enterprises,2
2627,GJ06TT7019,745804920.1613587,1,12.20468918582455,Banas Trading Co.,1
2628,GJ12AY9274,1026555995.5163126,1,11.435901165433355,Shree Sai Krupa transport Service,0
2629,GJ12W7582,287122909.47296757,1,14.492010110530375,Jasmin Enterprises,2
2630,GJ01BV3282,393381258.90163326,1,24.021507091915694,Bajrang Transport,74
2631,GJ10TV8527,789030359.9046726,1,26.27472834740464,JINAL ENTERPRISE,325
2632,GJ01BV3282,393381258.90163326,1,24.021507091915694,Bajrang Transport,74
2633,HR45C7083,422585300.3622006,1,21.414675650825455,Ahuja Service Station,10344
2634,BR09GA2219,359292360.2066156,1,15.69334415898239,Sultania Carriers Private Limited,2
2635,BR9E4140,456301477.0098641,1,13.370613370507304,Sultania Carriers Private Limited,1
2636,GJ12AU8130,791583733.1709129,1,11.723957047642557,Suresh Petroleum Co.,5866
2637,GJ06AV5629,1021602745.516698,1,11.059183347267988,Maa Trading Company,2
2638,HR45B6303,457380411.1384949,1,18.74961795119963,Ahuja Service Station,11
2639,GJ06AV5629,1021602745.516698,1,11.059183347267988,Maa Trading Company,2
2640,GJ03Y8562,1023617713.6929462,1,11.27591212619762,Balaji Transport,6
2641,GJ16Z2259,995308304.6682912,1,16.962290537362936,Gaurav Petroleum,3
2642,GJ11TT9662,799993114.210869,1,11.958544328300427,Om Petroleum,69
2643,GJ5AT1657,665123630.0591035,1,6.356250753354164,IDEAL MOVERS (P). LTD,2
2644,GJ07YY6445,935522164.0169456,1,11.882096331619469,Swami Traders,1
2645,GJ07YY6445,935522164.0169456,1,11.882096331619469,Swami Traders,1
2646,GJ3W7352,990003810.3988755,1,12.545734012618844,Nandkishor Roadlines,170
2647,GJ12W9606,794662280.9674935,1,12.540933173816441,Shree Dada Dayalu Logistics,2
2648,GJ12W9606,794662280.9674935,1,12.540933173816441,Shree Dada Dayalu Logistics,2
2649,GJ02Z6901,970329340.2219772,1,11.930407843888728,Jasmin Enterprises,28
2650,GJ02Z6901,970329340.2219772,1,11.930407843888728,Jasmin Enterprises,28
2651,GJ12AU8130,791583733.1709129,1,11.723957047642557,Suresh Petroleum Co.,5866
2652,GJ3W7356,1082707647.2942748,1,11.065788646687427,Nandkishor Roadlines,1
2653,GJ3W7356,1082707647.2942748,1,11.065788646687427,Nandkishor Roadlines,1
2654,GJ3W7360,989068996.5693398,1,11.957652461149621,Nandkishor Roadlines,1
2655,GJ03BT3961,1081798191.7116566,1,10.4166619627677,Shree Dada Dayalu Logistics,27
2656,GJ12AW0919,1078114487.9472466,1,13.29251891446427,Maruti Roadways,0
2657,GJ12AW0919,1078114487.9472466,1,13.29251891446427,Maruti Roadways,0
2658,GJ11X9025,960985519.2724339,1,11.144511915089044,Nandkishor Roadlines,5
2659,GJ12AT8472,347104583.5260057,1,15.489341803423327,Suresh Petroleum Co.,3186
2660,GJ3W7353,713235671.1987395,1,17.14591478653094,Nandkishor Roadlines,0
2661,GJ3W7353,713235671.1987395,1,17.14591478653094,Nandkishor Roadlines,0
2662,GJ03BT3961,1081798191.7116566,1,10.4166619627677,Shree Dada Dayalu Logistics,27
2663,GJ12AT8117,883154700.4980526,1,15.189336686149245,Maruti Roadways,1123
2664,GJ11X9025,960985519.2724339,1,11.144511915089044,Nandkishor Roadlines,5
2665,GJ11X9025,960985519.2724339,1,11.144511915089044,Nandkishor Roadlines,5
2666,GJ37T9972,1034628140.9693753,1,13.461057902523464,Maruti Roadways,6
2667,GJ3Y9056,965919926.4612479,1,10.982933667917088,Nandkishor Roadlines,12
2668,GJ3Y9056,965919926.4612479,1,10.982933667917088,Nandkishor Roadlines,12
2669,GJ37T9972,1034628140.9693753,1,13.461057902523464,Maruti Roadways,6
2670,GJ02VV9111,1168719573.683562,1,21.42612505397521,Shreeji Petroleum,114
2671,GJ02VV9111,1168719573.683562,1,21.42612505397521,Shreeji Petroleum,114
2672,HR39B7594,359788297.20242155,1,7.667900337056374,Balaji Service Station,26
2673,HR45B6631,394331712.30378443,1,22.160271641878612,Ahuja Service Station,9676
2674,HR63C5168,215408587.3483209,1,18.14164251736016,S K Petro Centre,6
2675,HR45B9981,194070066.8834224,1,14.289354963998685,Peer Baba Sai Services,13
2676,HR46E6939,660294790.9176219,1,6.52000318705348,Hari Mohan Filling Station,5
2677,HR61C0872,293467469.8625011,1,18.64761771131913,Ranvir Filling Station,2
2678,HR61C0872,293467469.8625011,1,18.64761771131913,Ranvir Filling Station,2
2679,HR45B6113,867385444.0015612,1,8.991116176156963,Ahuja Service Station,256
2680,HR63D6875,807417721.0221565,1,4.352960900370295,Anju Filling Station,20
2681,HR47C6476,357950263.0301328,1,21.937516543144522,S.R.Filling Station,13
2682,HR63D6875,807417721.0221565,1,4.352960900370295,Anju Filling Station,20
2683,HR46D6654,530859619.84874254,1,26.05287662848649,SRR Filling Station,22
2684,HR55AB1478,752728813.7911171,1,10.191988787136705,MI Filling Staion,13
2685,HR55AB1478,752728813.7911171,1,10.191988787136705,MI Filling Staion,13
2686,HR45B3790,976877321.0890875,1,6.73767053917188,Sunil Kumar,38
2687,HR40C0555,976401816.4130485,1,4.717094559027611,Haryana Filling Station,30
2688,HR45B3790,976877321.0890875,1,6.73767053917188,Sunil Kumar,38
2689,HR45C7083,422585300.3622006,1,21.414675650825455,Ahuja Service Station,10344
2690,GJ12W8898,1059727009.921945,1,12.053412985305854,Shree Dada Dayalu Logistics,0
2691,HR38V0997,425323404.78213567,1,17.740269975925713,Hari Service Station,21
2692,GJ13AT8909,1057838241.6003939,1,14.835888487508242,Gopinath Petrolium Company,2
2693,GJ21T6780,970567051.7638341,1,12.75874428613265,R.K.Bulk Carriers,664
2694,GJ18X8616,1068205669.6815834,1,9.639707067683025,Maruti Roadways,4
2695,GJ06TT7206,911830952.0312163,1,11.941411833906722,Maa Trading Company,3
2696,GJ11TT9662,799993114.210869,1,11.958544328300427,Om Petroleum,69
2697,GJ11TT9662,799993114.210869,1,11.958544328300427,Om Petroleum,69
2698,BR01GF5796,662300357.751919,1,7.042249152121763,Jay Mata Di Service,0
2699,BR09GA5531,453375508.9872459,1,14.69825998895231,Sultania Carriers Private Limited,7
2700,GJ10X8816,1099909586.683948,1,11.023137973833137,Nandkishor Roadlines,4
2701,GJ16Z2259,995308304.6682912,1,16.962290537362936,Gaurav Petroleum,3
